House_ID,Region,Region_Factor,Area,Frontage,Road_Width,dist-center,Floors,Bedrooms,Bathrooms,yr-built,Price
VN_0056,Small_Province,0.25,172.9,6.0,2.0,31.8,1,4,3,2012,0.79
VN_0057,Hanoi,8.0,46.2,3.0,5.3,20.9,2,1,1,1993,3.62
VN_0058,HCMC,8.5,133.9,7.6,3.2,8.3,2,2,1,2011,16.65
VN_0059,Hanoi,8.0,132.7,5.2,3.0,31.2,5,2,2,1986,4.27
VN_0060,Big_Province,1.0,49.8,6.6,4.9,34.8,1,2,2,1989,1.07
VN_0061,Big_Province,1.0,133.2,4.6,3.2,3.9,3,2,2,1981,6.39
VN_0062,Big_Province,1.0,190.8,5.3,5.5,30.3,4,4,2,1989,2.67
VN_0063,Small_Province,0.25,50.5,3.2,2.0,14.3,1,1,1,2014,0.58
VN_0064,Big_Province,1.0,55.9,6.2,5.1,18.8,1,1,1,2000,1.46
VN_0065,Big_Province,1.0,147.1,4.5,2.5,32.1,4,3,2,2019,1.53
VN_0066,Big_Province,1.0,101.3,6.4,5.2,34.1,3,2,1,2021,1.55
VN_0067,HCMC,8.5,116.5,4.7,3.4,9.9,4,3,2,1987,11.19
VN_0068,Small_Province,0.25,104.9,3.0,2.4,8.2,3,6,5,2025,1.48
VN_0069,Hanoi,8.0,107.5,4.2,2.4,3.7,3,4,3,1997,13.76
VN_0070,Small_Province,0.25,45.6,3.0,2.0,20.1,1,1,1,1988,0.4
VN_0071,Small_Province,0.25,149.3,5.8,4.8,1.5,3,5,4,2020,6.33
VN_0072,HCMC,8.5,158.7,3.7,4.2,15.0,2,2,1,2009,10.71
VN_0073,Hanoi,8.0,78.9,6.6,4.0,3.5,2,1,1,1983,19.27
VN_0074,Small_Province,0.25,86.5,4.9,2.3,14.8,2,3,2,2014,0.96
VN_0075,Small_Province,0.25,41.1,4.2,4.0,2.4,2,2,1,1993,2.02
VN_0076,Small_Province,0.25,114.4,6.5,4.8,29.4,3,3,2,1993,0.92
VN_0077,Small_Province,0.25,117.7,7.1,6.6,8.1,3,2,1,2016,3.14
VN_0078,Hanoi,8.0,85.7,5.0,2.4,12.2,4,1,1,1999,5.04
VN_0079,Big_Province,1.0,155.2,4.4,2.0,30.6,3,4,3,2008,1.55
VN_0080,Hanoi,8.0,74.8,3.0,2.0,26.4,3,1,1,2002,2.68
VN_0081,Small_Province,0.25,117.3,4.1,2.0,8.4,4,4,3,2000,1.69
VN_0082,Big_Province,1.0,53.1,3.5,2.5,3.4,3,1,1,2010,2.55
VN_0083,Big_Province,1.0,87.4,5.2,3.0,25.3,3,2,1,2011,1.32
VN_0084,Hanoi,8.0,81.1,4.3,4.4,14.3,2,1,1,2020,7.21
VN_0085,Big_Province,1.0,99.0,6.4,4.4,27.0,3,3,2,1986,1.9
VN_0086,Big_Province,1.0,73.5,3.8,3.0,16.1,1,2,2,1992,1.56
VN_0087,Small_Province,0.25,82.8,4.9,3.9,12.8,3,1,1,2002,1.3
VN_0088,Big_Province,1.0,133.7,7.7,6.1,16.3,3,4,2,1987,3.4
VN_0089,Small_Province,0.25,71.1,5.5,4.1,26.5,2,1,1,1991,0.66
VN_0090,Big_Province,1.0,39.6,4.4,4.0,31.7,2,2,1,2015,0.77
VN_0091,Hanoi,8.0,212.1,5.4,2.9,2.7,3,5,3,1995,28.58
VN_0092,Small_Province,0.25,176.5,4.9,5.8,18.8,5,3,1,2005,1.67
VN_0093,Small_Province,0.25,46.3,3.0,2.0,2.1,2,3,2,2008,1.44
VN_0094,Big_Province,1.0,124.9,4.5,2.0,16.9,3,5,3,2008,1.86
VN_0095,Small_Province,0.25,68.8,6.2,4.9,31.1,2,1,1,1985,0.56
VN_0096,Big_Province,1.0,100.9,4.8,2.3,13.3,3,3,3,2016,2.12
VN_0097,Big_Province,1.0,102.5,3.0,3.2,32.7,4,2,2,2012,1.5
VN_0098,Big_Province,1.0,78.7,8.1,9.4,22.4,2,1,1,2010,2.23
VN_0099,Hanoi,8.0,59.8,5.3,2.8,32.8,2,3,1,2025,2.66
VN_0100,Hanoi,8.0,62.6,3.0,2.7,26.7,2,1,1,2020,2.78
VN_0101,Hanoi,8.0,55.9,3.9,2.0,4.5,3,3,2,1997,7.75
VN_0102,Big_Province,1.0,58.3,4.9,4.3,8.9,2,2,1,2017,3.13
VN_0103,Big_Province,1.0,85.5,8.1,4.7,14.4,2,2,2,2010,2.77
VN_0104,Big_Province,1.0,61.8,3.0,2.0,6.8,3,1,1,1995,2.53
VN_0105,Small_Province,0.25,124.4,7.2,3.8,17.8,3,4,4,2019,1.18
VN_0106,HCMC,8.5,186.0,8.7,7.6,17.0,5,3,2,2016,19.56
VN_0107,Big_Province,1.0,66.2,3.6,4.2,33.5,1,3,2,1993,1.19
VN_0108,Small_Province,0.25,99.7,4.7,3.5,15.7,2,2,1,2018,0.88
VN_0109,HCMC,8.5,113.5,3.5,2.0,27.7,4,4,4,1983,3.64
VN_0110,Hanoi,8.0,112.0,5.0,6.1,33.0,2,2,2,2009,5.33
VN_0111,Big_Province,1.0,91.9,5.0,2.6,30.8,2,2,1,2012,1.35
VN_0112,HCMC,8.5,128.2,6.7,2.0,8.1,3,3,1,2015,12.71
VN_0113,Small_Province,0.25,112.6,7.3,6.2,17.9,2,3,1,2009,1.38
VN_0114,Small_Province,0.25,47.6,3.2,2.0,12.8,1,3,3,1993,0.58
VN_0115,Big_Province,1.0,136.6,3.0,3.7,14.6,3,2,2,2002,2.7
VN_0116,Small_Province,0.25,137.8,5.6,3.6,13.3,3,3,3,2007,1.81
VN_0117,Small_Province,0.25,60.4,5.2,4.8,29.1,3,1,1,1986,0.6
VN_0118,HCMC,8.5,90.1,5.5,6.2,16.4,4,1,1,2021,7.89
VN_0119,Small_Province,0.25,124.5,4.9,2.0,18.8,2,2,2,1989,0.7
VN_0120,Big_Province,1.0,79.7,5.2,3.0,34.4,2,1,1,1983,1.08
VN_0121,Small_Province,0.25,151.2,8.5,6.3,3.0,4,7,5,2023,7.42
VN_0122,Small_Province,0.25,288.4,8.1,8.4,17.6,5,7,5,2017,3.63
VN_0123,Big_Province,1.0,59.7,4.0,2.0,27.3,2,2,2,1992,0.69
VN_0124,Hanoi,8.0,44.3,3.6,2.0,6.1,2,1,1,2000,5.43
VN_0125,HCMC,8.5,102.9,4.9,4.4,21.8,3,2,1,2012,5.18
VN_0126,Big_Province,1.0,126.9,8.4,5.5,9.1,3,4,4,2019,6.66
VN_0127,Small_Province,0.25,78.8,4.6,3.7,30.5,1,5,3,2007,0.46
VN_0128,Small_Province,0.25,182.9,6.1,2.3,12.1,4,3,3,2002,2.02
VN_0129,Hanoi,8.0,45.3,3.7,6.1,12.2,3,1,1,2011,5.98
VN_0130,Big_Province,1.0,125.1,7.4,3.6,21.3,3,2,1,1984,2.26
VN_0131,Big_Province,1.0,65.3,8.3,5.7,7.2,2,1,1,2005,5.01
VN_0132,HCMC,8.5,208.9,7.3,5.4,10.7,4,4,1,2018,21.99
VN_0133,Hanoi,8.0,239.5,7.0,8.1,15.2,3,7,5,2005,18.17
VN_0134,Big_Province,1.0,60.3,4.8,2.0,13.0,2,2,2,1982,1.49
VN_0135,Small_Province,0.25,67.2,3.0,5.2,18.8,2,1,1,2003,0.68
VN_0136,Big_Province,1.0,135.9,6.9,6.3,21.4,3,5,4,2013,3.47
VN_0137,Big_Province,1.0,72.9,5.1,4.4,20.3,1,4,3,2013,1.42
VN_0138,Small_Province,0.25,86.5,5.8,2.9,23.2,2,1,1,1999,0.66
VN_0139,Big_Province,1.0,89.6,3.8,3.7,11.5,3,4,3,2009,3.15
VN_0140,Small_Province,0.25,33.9,3.7,2.0,5.3,3,1,1,2021,1.19
VN_0141,Small_Province,0.25,87.8,4.3,5.1,26.9,3,1,1,1999,0.83
VN_0142,HCMC,8.5,62.6,6.6,3.5,29.9,1,1,1,2020,2.8
VN_0143,Big_Province,1.0,69.1,4.1,2.9,9.7,3,1,1,1997,2.62
VN_0144,Big_Province,1.0,182.0,9.9,6.6,14.8,3,3,1,2017,5.88
VN_0145,Big_Province,1.0,47.2,5.3,2.5,18.0,1,1,1,1999,0.88
VN_0146,Hanoi,8.0,132.8,3.3,3.6,19.1,3,6,5,1985,5.9
VN_0147,Big_Province,1.0,76.9,4.7,4.3,23.4,3,1,1,2021,1.36
VN_0148,Big_Province,1.0,76.9,3.7,4.6,2.4,3,1,1,2004,7.16
VN_0149,Hanoi,8.0,131.3,3.0,2.0,25.5,3,2,1,2020,3.52
VN_0150,Big_Province,1.0,104.8,8.1,7.7,3.1,2,4,2,2020,9.5
VN_0151,Small_Province,0.25,117.6,6.6,8.7,16.9,3,2,1,1982,1.58
VN_0152,HCMC,8.5,143.5,6.6,4.3,29.1,4,4,3,2023,6.25
VN_0153,HCMC,8.5,74.9,5.2,6.7,16.3,3,2,2,2022,7.9
VN_0154,Big_Province,1.0,65.1,3.0,2.0,6.1,1,2,2,2025,3.0
VN_0155,Small_Province,0.25,51.4,3.7,2.0,34.5,2,3,1,1998,0.35
VN_0156,HCMC,8.5,58.5,6.2,4.2,31.2,1,1,1,1989,2.64
VN_0157,Big_Province,1.0,386.4,6.7,6.6,27.2,5,7,5,1984,5.18
VN_0158,Small_Province,0.25,164.8,3.0,2.0,15.0,3,2,2,2001,1.11
VN_0159,HCMC,8.5,45.0,4.1,2.2,7.3,2,1,1,1988,5.46
VN_0160,Small_Province,0.25,45.7,4.3,4.1,33.0,1,1,1,2012,0.49
VN_0161,Big_Province,1.0,112.5,5.6,4.2,19.1,1,3,2,1994,2.21
VN_0162,Big_Province,1.0,116.3,6.7,5.9,30.0,1,2,2,2003,2.33
VN_0163,Big_Province,1.0,116.4,6.5,5.2,12.6,3,2,2,2009,4.92
VN_0164,Big_Province,1.0,77.9,5.4,4.8,12.4,2,2,2,2015,2.39
VN_0165,Hanoi,8.0,83.1,7.1,4.7,34.5,2,4,2,2018,4.06
VN_0166,Small_Province,0.25,104.2,3.0,2.6,18.7,4,1,1,1985,0.84
VN_0167,Big_Province,1.0,92.3,6.0,3.1,5.8,2,1,1,1994,4.8
VN_0168,HCMC,8.5,29.2,5.5,6.0,8.5,3,1,1,2017,7.46
VN_0169,Hanoi,8.0,78.8,3.0,2.0,17.4,3,4,2,2018,3.38
VN_0170,Big_Province,1.0,57.8,3.0,3.9,2.4,1,1,1,2001,5.08
VN_0171,Big_Province,1.0,96.5,3.8,2.5,16.7,2,2,2,1982,1.47
VN_0172,Hanoi,8.0,393.4,7.4,5.9,15.2,5,7,5,2008,26.41
VN_0173,Big_Province,1.0,106.3,6.6,4.2,27.5,1,3,3,2008,1.76
VN_0174,HCMC,8.5,75.6,3.8,2.0,13.1,1,1,1,2010,5.3
VN_0175,Big_Province,1.0,140.2,4.1,2.0,34.4,4,2,2,2024,1.56
VN_0176,HCMC,8.5,112.6,4.2,2.0,7.1,4,4,4,1981,8.73
VN_0177,Big_Province,1.0,109.1,7.3,5.0,21.1,3,2,2,2014,2.85
VN_0178,Big_Province,1.0,119.8,5.4,4.4,4.0,3,2,1,2024,9.23
VN_0179,Small_Province,0.25,247.3,6.6,6.5,26.0,5,5,4,1988,1.99
VN_0180,HCMC,8.5,50.2,4.4,2.6,34.8,3,1,1,2001,2.31
VN_0181,Big_Province,1.0,112.1,7.6,4.4,28.9,4,3,1,1998,1.84
VN_0182,Hanoi,8.0,55.7,3.3,2.0,19.9,1,1,1,2016,2.81
VN_0183,Small_Province,0.25,116.8,7.7,6.5,17.5,1,1,1,1989,1.64
VN_0184,Small_Province,0.25,55.9,5.0,5.9,29.4,1,1,1,2025,0.7
VN_0185,HCMC,8.5,71.8,4.6,5.3,32.8,3,2,1,2000,3.68
VN_0186,Big_Province,1.0,76.3,9.4,8.1,34.6,2,2,2,1996,2.01
VN_0187,Small_Province,0.25,144.1,3.8,3.8,14.5,3,5,3,1982,1.6
VN_0188,Big_Province,1.0,140.0,5.0,6.3,34.7,2,4,3,1986,2.27
VN_0189,Big_Province,1.0,47.4,3.0,2.7,6.3,1,1,1,2020,2.58
VN_0190,HCMC,8.5,90.9,6.8,6.1,9.6,2,2,2,2016,12.66
VN_0191,Hanoi,8.0,62.0,7.8,5.3,4.0,2,3,3,2015,17.75
VN_0192,Small_Province,0.25,47.1,7.6,3.6,10.2,1,3,2,1982,0.94
VN_0193,Small_Province,0.25,79.3,7.1,4.3,27.1,1,2,2,1992,0.73
VN_0194,Big_Province,1.0,75.8,4.5,3.4,30.0,1,1,1,2020,1.11
VN_0195,Big_Province,1.0,297.6,6.8,5.2,27.5,5,4,3,2009,4.18
VN_0196,Big_Province,1.0,109.8,3.0,5.1,22.5,3,1,1,2002,1.69
VN_0197,Small_Province,0.25,44.4,8.2,6.3,18.5,2,2,2,1986,0.78
VN_0198,Small_Province,0.25,66.7,5.6,6.0,25.1,1,2,2,2009,0.77
VN_0199,Small_Province,0.25,147.4,4.8,3.0,14.3,1,2,2,2008,1.24
VN_0200,Small_Province,0.25,251.3,9.3,6.5,29.6,4,7,3,1987,2.1
VN_0201,Big_Province,1.0,40.0,3.0,2.0,24.0,1,1,1,1989,0.62
VN_0202,Hanoi,8.0,34.5,5.1,2.7,24.7,2,1,1,2012,1.98
VN_0203,HCMC,8.5,225.4,6.3,5.5,19.2,5,7,5,1999,13.46
VN_0204,Small_Province,0.25,107.5,6.4,4.8,31.1,3,4,3,2008,0.87
VN_0205,Big_Province,1.0,57.3,4.6,4.8,9.6,4,1,1,2008,2.84
VN_0206,Hanoi,8.0,115.5,3.0,2.5,14.0,3,3,2,2000,6.21
VN_0207,Hanoi,8.0,23.7,4.4,2.8,27.4,1,1,1,1980,1.29
VN_0208,Big_Province,1.0,88.6,6.9,8.4,17.8,3,5,4,2013,2.33
VN_0209,Hanoi,8.0,104.2,5.2,3.7,31.2,4,2,2,2023,4.14
VN_0210,HCMC,8.5,140.4,7.0,7.0,12.8,4,2,2,2011,17.48
VN_0211,Big_Province,1.0,53.3,3.0,2.0,13.6,1,2,2,2024,1.1
VN_0212,Big_Province,1.0,92.3,5.0,4.8,31.2,3,2,1,1993,1.52
VN_0213,Big_Province,1.0,55.7,3.5,4.0,16.8,1,1,1,2016,1.44
VN_0214,HCMC,8.5,100.5,6.5,5.2,18.5,3,2,2,2014,6.48
VN_0215,Small_Province,0.25,56.5,4.7,2.0,12.3,3,1,1,2003,0.84
VN_0216,HCMC,8.5,72.1,6.1,4.6,10.4,2,2,1,1980,8.59
VN_0217,Big_Province,1.0,53.8,6.6,6.8,23.3,1,1,1,2025,1.46
VN_0218,Small_Province,0.25,122.5,6.7,5.8,5.1,3,2,2,1985,4.52
VN_0219,Big_Province,1.0,135.8,6.1,5.2,30.9,3,3,2,1983,2.08
VN_0220,Small_Province,0.25,78.7,3.1,2.0,27.5,2,2,2,2017,0.46
VN_0221,Big_Province,1.0,90.1,5.1,2.7,7.5,2,2,2,1980,3.84
VN_0222,Big_Province,1.0,42.9,3.5,3.3,24.6,1,1,1,2020,0.77
VN_0223,Hanoi,8.0,76.1,4.3,3.8,21.5,3,3,3,2010,4.63
VN_0224,Big_Province,1.0,86.2,4.3,5.1,7.3,3,3,3,2015,4.63
VN_0225,HCMC,8.5,327.9,6.1,4.4,10.3,5,7,5,1988,24.91
VN_0226,HCMC,8.5,50.7,3.0,2.9,14.9,1,1,1,2020,3.79
VN_0227,Small_Province,0.25,183.9,5.0,3.7,24.8,3,5,4,2024,1.22
VN_0228,Big_Province,1.0,145.6,6.1,3.1,22.7,4,3,2,2002,1.9
VN_0229,Small_Province,0.25,101.8,3.0,2.0,19.1,3,2,2,2010,0.72
VN_0230,Big_Province,1.0,213.1,6.5,5.5,27.1,4,3,3,2008,3.83
VN_0231,Small_Province,0.25,106.5,8.7,6.8,26.8,3,3,3,2000,1.3
VN_0232,Big_Province,1.0,107.4,7.1,4.4,22.0,2,6,4,1982,2.08
VN_0233,Big_Province,1.0,86.1,8.0,3.5,27.8,3,1,1,2005,1.44
VN_0234,Big_Province,1.0,163.1,6.6,5.9,12.4,4,4,3,1985,5.62
VN_0235,HCMC,8.5,153.0,7.9,5.5,31.0,3,5,4,1999,7.74
VN_0236,Small_Province,0.25,64.7,3.5,3.4,21.9,2,1,1,2025,0.67
VN_0237,Big_Province,1.0,45.7,3.4,5.3,29.0,3,1,1,1992,0.99
VN_0238,Hanoi,8.0,79.9,3.0,2.0,19.6,2,3,3,2020,3.4
VN_0239,Big_Province,1.0,59.3,6.8,4.1,8.4,2,1,1,2002,2.99
VN_0240,HCMC,8.5,85.7,7.8,5.5,19.4,2,2,2,1994,6.98
VN_0241,Small_Province,0.25,164.2,4.9,5.9,13.6,4,4,1,2025,2.15
VN_0242,Small_Province,0.25,70.4,4.4,2.0,24.7,1,3,2,2010,0.43
VN_0243,Small_Province,0.25,86.6,3.7,5.6,17.2,2,2,1,1983,1.01
VN_0244,Big_Province,1.0,91.0,5.8,4.5,29.4,3,5,4,1990,2.03
VN_0245,Hanoi,8.0,135.2,7.6,5.6,24.1,2,4,3,1981,7.6
VN_0246,Small_Province,0.25,28.8,3.0,2.0,24.3,1,2,1,1995,0.2
VN_0247,Big_Province,1.0,65.3,5.5,3.5,8.4,1,1,1,2010,2.58
VN_0248,Small_Province,0.25,98.3,4.7,5.1,34.5,1,3,3,2018,0.67
VN_0249,Small_Province,0.25,161.2,6.1,3.0,29.6,4,1,1,2022,0.92
VN_0250,Small_Province,0.25,69.2,5.6,4.7,27.8,1,1,1,2023,0.64
VN_0251,Big_Province,1.0,34.6,4.1,2.5,12.2,1,2,2,1983,0.93
VN_0252,Big_Province,1.0,120.6,5.2,2.8,19.2,3,3,3,2007,1.85
VN_0253,Small_Province,0.25,64.4,4.4,7.2,5.7,2,1,1,1995,2.87
VN_0254,Big_Province,1.0,48.8,6.3,5.4,19.3,1,1,1,2018,1.46
VN_0255,HCMC,8.5,64.7,5.5,5.1,6.0,2,1,1,2004,14.32
VN_0256,Big_Province,1.0,80.6,5.3,5.7,19.8,2,2,2,1992,1.77
VN_0257,Small_Province,0.25,65.4,3.0,2.0,23.1,2,1,1,1984,0.4
VN_0258,Big_Province,1.0,29.4,3.7,5.4,14.3,1,3,1,2009,1.1
VN_0259,Big_Province,1.0,138.5,7.2,2.0,18.0,5,3,2,1980,2.08
VN_0260,Hanoi,8.0,167.3,6.0,3.4,30.8,4,2,1,1984,5.67
VN_0261,Big_Province,1.0,122.5,6.6,4.3,4.7,5,5,3,1993,9.08
VN_0262,Small_Province,0.25,50.1,7.8,6.7,27.9,1,1,1,1990,0.62
VN_0263,HCMC,8.5,80.0,6.8,5.4,6.8,2,2,2,2013,13.87
VN_0264,Big_Province,1.0,88.2,5.2,3.7,2.2,1,2,2,2008,7.36
VN_0265,Small_Province,0.25,119.3,4.5,3.3,7.3,2,3,3,1997,2.28
VN_0266,Small_Province,0.25,123.5,3.0,2.0,27.0,4,2,2,1994,0.65
VN_0267,Big_Province,1.0,61.3,4.4,2.0,14.8,1,2,2,2025,1.27
VN_0268,Small_Province,0.25,92.1,4.5,4.5,30.7,4,2,2,2004,0.75
VN_0269,Big_Province,1.0,111.2,6.0,5.5,18.8,2,3,2,2009,2.49
VN_0270,Big_Province,1.0,183.1,5.9,6.8,1.8,3,4,4,2024,17.86
VN_0271,Small_Province,0.25,125.8,4.9,2.5,25.4,3,2,1,1981,0.62
VN_0272,Small_Province,0.25,131.2,3.0,3.3,4.7,3,1,1,2019,3.71
VN_0273,Small_Province,0.25,92.2,3.4,2.1,27.8,3,2,1,2006,0.59
VN_0274,Small_Province,0.25,179.0,7.0,7.0,6.7,4,4,2,1994,5.71
VN_0275,Big_Province,1.0,108.5,8.4,7.8,12.7,2,5,3,2011,4.51
VN_0276,Big_Province,1.0,57.5,4.5,3.7,26.9,2,2,2,1999,0.95
VN_0277,Small_Province,0.25,178.4,6.7,4.5,33.4,3,3,2,1993,1.28
VN_0278,Big_Province,1.0,125.4,7.2,6.8,13.6,2,1,1,2006,4.12
VN_0279,Small_Province,0.25,70.9,3.4,3.5,29.2,1,2,1,1982,0.56
VN_0280,Small_Province,0.25,69.6,5.5,3.1,7.5,3,1,1,1982,1.19
VN_0281,Small_Province,0.25,102.6,3.9,2.0,28.4,1,2,1,1992,0.5
VN_0282,Big_Province,1.0,111.5,6.9,4.7,23.4,4,2,2,2004,1.99
VN_0283,Big_Province,1.0,97.6,5.4,6.3,7.6,2,2,1,1997,6.36
VN_0284,Hanoi,8.0,103.3,5.8,6.0,11.3,2,3,1,1980,12.41
VN_0285,Big_Province,1.0,206.9,5.0,2.1,5.5,5,2,1,2018,7.76
VN_0286,Hanoi,8.0,151.1,7.1,3.5,14.0,4,5,3,1984,11.55
VN_0287,Big_Province,1.0,97.3,8.9,8.6,7.9,3,2,1,1981,6.95
VN_0288,Big_Province,1.0,141.6,3.9,2.0,22.9,3,2,1,2009,1.66
VN_0289,Big_Province,1.0,52.8,4.0,3.8,34.8,3,2,1,1996,0.74
VN_0290,Big_Province,1.0,107.9,5.7,3.3,1.4,1,2,2,2008,8.56
VN_0291,Hanoi,8.0,218.5,8.0,8.4,19.4,4,3,1,2021,16.51
VN_0292,Hanoi,8.0,79.3,3.9,2.0,20.5,1,1,1,1983,2.69
VN_0293,Small_Province,0.25,57.9,3.0,4.0,32.1,3,2,1,1988,0.48
VN_0294,Big_Province,1.0,63.8,7.2,5.7,18.2,2,2,2,2000,1.56
VN_0295,HCMC,8.5,51.3,6.0,4.9,19.5,2,1,1,2022,4.51
VN_0296,Big_Province,1.0,59.7,3.0,2.0,17.0,2,3,3,1991,0.94
VN_0297,Small_Province,0.25,73.5,3.8,2.0,10.1,1,2,1,1991,0.87
VN_0298,HCMC,8.5,43.8,7.3,5.2,2.9,1,3,2,1983,15.24
VN_0299,Big_Province,1.0,89.1,7.7,6.1,14.9,3,1,1,2007,3.69
VN_0300,Hanoi,8.0,138.9,7.3,3.8,2.8,2,2,2,1988,30.26
VN_0301,Hanoi,8.0,56.2,4.3,2.0,19.7,2,1,1,2019,2.44
VN_0302,Big_Province,1.0,189.0,6.4,5.6,11.4,3,4,3,2011,6.71
VN_0303,Big_Province,1.0,114.2,5.1,4.7,19.1,2,4,2,1992,2.23
VN_0304,Big_Province,1.0,148.1,7.8,5.6,5.6,3,4,1,2013,10.8
VN_0305,Small_Province,0.25,63.7,3.2,3.5,32.7,1,1,1,1998,0.48
VN_0306,Small_Province,0.25,135.6,4.1,2.0,31.4,2,3,2,1993,0.53
VN_0307,Big_Province,1.0,51.2,6.4,4.3,7.5,2,1,1,1984,2.97
VN_0308,Big_Province,1.0,138.0,5.5,6.6,12.7,2,2,2,2006,4.43
VN_0309,Small_Province,0.25,96.4,7.6,5.8,21.9,2,2,1,2007,1.07
